college,Private,Apps,accept,enroll,Tuition,Grad.Rate,expenditure,Perc.AlumniDonation
Rowan College of New Jersey,No,3820,1431,695,4356,51,7252,6
Rutgers at New Brunswick,No,48094,26330,4520,7410,77,10474,19
Rutgers State University at Camden,No,3366,1752,232,7411,57,10134,12
Rutgers State University at Newark,No,5785,2690,499,7410,58,11878,16
Sacred Heart University,Yes,2307,1896,509,11070,82,7120,16
Saint Ambrose University,Yes,897,718,276,10450,70,7444,16
Saint Anselm College,Yes,2095,1553,514,12950,97,6719,29
Saint Cloud State University,No,3971,3306,1921,4259,58,4629,10
Saint Francis College IN,Yes,213,166,85,8670,48,7440,4
Saint Francis College,Yes,1046,824,284,10880,69,7344,24
Saint John's University,Yes,933,800,444,12247,70,9853,38
Saint Joseph's College IN,Yes,920,684,225,11200,67,7360,19
Saint Joseph's College,Yes,833,682,217,9985,85,4322,8
Saint Joseph's University,Yes,2519,2003,776,12750,83,8243,13
Saint Joseph College,Yes,292,241,96,12200,76,8680,32
Saint Louis University,Yes,3294,2855,956,11690,67,18367,19
Saint Mary's College,Yes,888,734,393,12730,98,11165,31
Saint Mary's College of Minnesota,Yes,876,802,367,10800,78,5081,19
Saint Mary-of-the-Woods College,Yes,150,130,88,10300,75,9678,37
Saint Michael's College,Yes,1910,1380,463,13030,84,10190,34
Saint Olaf College,Yes,2248,1673,745,14350,83,12502,31
Saint Peter's College,Yes,1606,1413,530,9408,53,7669,22
Saint Vincent College,Yes,700,595,278,10850,88,8534,31
Saint Xavier University,Yes,785,647,295,10860,55,8953,15
Salem-Teikyo University,Yes,489,384,120,10575,98,8946,9
Salem College,Yes,335,284,132,10475,60,9599,46
Salisbury State University,No,4216,2290,736,5130,56,5125,18
Samford University,Yes,1680,1395,691,8236,61,9533,17
San Diego State University,No,9402,7020,2151,8384,41,7930,7
Santa Clara University,Yes,4019,2779,888,13584,100,10872,19
Sarah Lawrence College,Yes,1380,768,263,19300,83,14779,18
Savannah Coll. of Art and Design,Yes,1109,688,386,8325,55,6874,26
Schreiner College,Yes,584,413,131,8955,52,8545,23
Scripps College,Yes,855,632,139,17238,73,18372,41
Seattle Pacific University,Yes,1183,1016,411,12669,66,10368,20
Seattle University,Yes,2115,1540,494,12825,89,10175,16
Seton Hall University,Yes,4576,3565,1000,12000,64,10080,15
Seton Hill College,Yes,936,794,197,11240,71,10065,37
Shippensburg University of Penn.,No,5818,3281,1116,7844,72,6719,13
Shorter College,Yes,540,445,165,7210,58,7356,18
Siena College,Yes,2961,1932,628,10800,100,8189,42
Siena Heights College,Yes,464,419,183,9240,47,9431,17
Simmons College,Yes,1003,782,295,16160,79,14086,33
Simpson College,Yes,1016,872,300,11250,70,7411,36
Sioux Falls College,Yes,437,400,211,8990,48,7881,7
Skidmore College,Yes,4293,2728,591,18710,81,14837,29
Smith College,Yes,2925,1598,632,18820,90,21199,44
South Dakota State University,No,2807,2589,1701,3811,67,5084,29
Southeast Missouri State University,No,2281,1870,1408,4680,45,5916,8
Southeastern Oklahoma State Univ.,No,818,700,447,3738,53,4444,9
Southern California College,Yes,385,340,193,9520,43,8219,11
Southern Illinois University at Edwardsville,No,2540,2195,994,5472,43,7498,8
Southern Methodist University,Yes,4301,3455,1166,12772,72,12726,17
Southwest Baptist University,Yes,1093,1093,642,7070,71,4718,13
Southwest Missouri State University,No,6118,5254,3204,4740,56,4632,11
Southwest State University,No,1047,938,511,4285,51,6591,31
Southwestern Adventist College,Yes,321,318,172,7536,36,5309,12
Southwestern College,Yes,213,155,75,7200,52,7818,12
Southwestern University,Yes,1244,912,352,11850,67,12995,35
Spalding University,Yes,283,201,97,8400,89,6860,40
Spelman College,Yes,3713,1237,443,7000,65,9988,18
Spring Arbor College,Yes,372,362,181,8600,49,10938,9
St. Bonaventure University,Yes,1489,1313,375,10456,78,9828,32
St. John's College,Yes,323,278,122,16150,64,15622,26
St. John Fisher College,Yes,1368,1064,354,10570,66,7908,29
St. Lawrence University,Yes,2753,1820,505,18720,85,14980,38
St. Martin's College,Yes,191,165,63,11550,40,9209,8
St. Mary's College of California,Yes,2643,1611,465,13332,78,9619,17
St. Mary's College of Maryland,No,1340,695,285,6800,63,10357,23
St. Mary's University of San Antonio,Yes,1243,1020,414,8678,72,7651,7
St. Norbert College,Yes,1334,1243,568,12140,88,8595,36
St. Paul's College,Yes,651,581,243,5000,45,8426,8
St. Thomas Aquinas College,Yes,861,609,215,8650,67,6534,13
Stephens College,Yes,450,405,194,13900,59,9995,17
Stetson University,Yes,1557,1227,489,12315,73,10307,24
Stevens Institute of Technology,Yes,1768,1249,380,16900,79,12837,33
Stockton College of New Jersey,No,4019,1579,710,3040,64,5599,7
Stonehill College,Yes,3646,2300,585,12170,97,7495,30
SUNY at Albany,No,13528,9198,1843,6550,74,9075,16
SUNY at Binghamton,No,14463,6166,1757,6550,80,8055,15
SUNY at Buffalo,No,15039,9649,3087,6550,56,11177,15
SUNY at Stony Brook,No,12512,6969,1724,6550,57,13705,7
SUNY College  at Brockport,No,7294,3564,904,6550,49,6632,14
SUNY College  at Oswego,No,8000,4556,1464,6550,63,5280,21
SUNY College at Buffalo,No,5318,3515,1025,6550,42,7511,12
SUNY College at Cortland,No,7888,3519,1036,6550,53,5563,17
SUNY College at Fredonia,No,4877,2798,814,6550,66,6442,10
SUNY College at Geneseo,No,8598,4562,1143,6550,76,5716,25
SUNY College at New Paltz,No,8399,3609,656,6550,53,6608,8
SUNY College at Plattsburgh,No,5549,3583,853,6550,65,6174,16
SUNY College at Potsdam,No,3150,2289,650,6840,59,6436,17
SUNY College at Purchase,No,2119,1264,390,6550,46,8170,8
Susquehanna University,Yes,2096,1512,465,16130,90,10554,37
Sweet Briar College,Yes,462,402,146,14500,61,18953,48
Syracuse University,Yes,10477,7260,2442,15150,67,14231,13
Tabor College,Yes,257,183,109,7850,53,7233,15
Talladega College,Yes,4414,1500,335,5666,46,5970,7
Taylor University,Yes,1769,1092,437,10965,98,8294,32
Tennessee Wesleyan College,Yes,232,182,99,7070,36,6286,16
Texas A&M Univ. at College Station,No,14474,10519,6392,5130,69,8471,29
Texas A&M University at Galveston,No,529,481,243,4860,43,6415,16
Texas Christian University,Yes,4095,3079,1195,8490,64,9158,23
Texas Lutheran College,Yes,497,423,215,7850,50,7002,24
Texas Southern University,No,4345,3245,2604,7860,10,3605,21
Texas Wesleyan University,Yes,592,501,279,6400,43,7936,10
The Citadel,No,1500,1242,611,7070,84,7744,17
Thiel College,Yes,1154,951,253,11172,60,9186,16
Tiffin University,Yes,845,734,254,7600,39,5096,40
Transylvania University,Yes,759,729,244,10900,70,10219,41
Trenton State College,No,5042,2312,944,5391,81,8504,6
Tri-State University,Yes,1262,1102,276,9456,65,7603,24
Trinity College CT,Yes,3058,1798,478,18810,91,18034,48
Trinity College DC,Yes,247,189,100,11412,96,11806,37
Trinity College VT,Yes,222,185,91,11010,78,9586,26
Trinity University,Yes,2425,1818,601,12240,93,14703,20
Tulane University,Yes,7033,5125,1223,19040,74,16920,21
Tusculum College,Yes,626,372,145,7700,52,4933,28
Tuskegee University,Yes,2267,1827,611,6735,65,10872,7
Union College KY,Yes,484,384,177,7800,64,6864,9
Union College NY,Yes,3495,1712,528,18732,88,15411,49
Univ. of Wisconsin at OshKosh,No,4800,2900,1515,6874,56,5901,14
University of Alabama at Birmingham,No,1797,1260,938,4440,33,16352,16
University of Arkansas at Fayetteville,No,3235,3108,2133,5028,39,6820,10
University of California at Berkeley,No,19873,8252,3215,11648,78,13919,10
University of California at Irvine,No,15698,10775,2478,12024,66,15934,11
University of Central Florida,No,6986,2959,1918,6618,46,6742,9
University of Charleston,Yes,682,535,204,9500,57,7683,10
University of Chicago,Yes,6348,2999,922,18930,90,36854,36
University of Cincinnati,No,6855,5553,2408,8907,54,13889,6
University of Connecticut at Storrs,No,9735,7187,2064,11656,71,10178,16
University of Dallas,Yes,681,588,246,10760,63,8731,26
University of Dayton,Yes,6361,5293,1507,11380,93,8894,25
University of Delaware,Yes,14446,10516,3252,10220,75,10650,15
University of Denver,Yes,2974,2001,580,15192,67,11762,21
University of Detroit Mercy,Yes,927,731,415,11130,51,10891,14
University of Dubuque,Yes,576,558,137,10430,45,8767,18
University of Evansville,Yes,2096,1626,694,11800,77,7780,26
University of Florida,No,12445,8836,3623,7090,66,14737,20
University of Georgia,No,11220,7871,3320,5697,63,7881,22
University of Hartford,Yes,5081,4040,1194,14220,66,10625,9
University of Hawaii at Manoa,No,3580,2603,1627,4460,54,12833,6
University of Illinois - Urbana,No,14939,11652,5705,7560,81,8559,13
University of Illinois at Chicago,No,8384,5727,2710,7230,34,13883,6
University of Indianapolis,Yes,1487,1276,388,11120,69,6735,23
University of Kansas,No,8579,5561,3681,6994,57,9657,17
University of La Verne,Yes,1597,969,226,13540,47,10139,23
University of Louisville,No,4777,3057,1823,6540,31,10207,24
University of Maine at Farmington,No,1208,803,438,6810,59,5712,26
University of Maine at Machias,No,441,369,172,6600,64,5935,4
University of Maine at Presque Isle,No,461,381,235,6600,35,6408,11
University of Maryland at Baltimore County,No,4269,2594,985,8594,55,7618,6
University of Maryland at College Park,No,14292,10315,3409,8723,63,9021,12
University of Massachusetts at Amherst,No,14438,12414,3816,8566,68,10276,15
University of Massachusetts at Dartmouth,No,3347,2597,1006,6919,56,7462,20
University of Miami,Yes,7122,5386,1643,16500,59,17500,17
University of Michigan at Ann Arbor,No,19152,12940,4893,15732,87,14847,26
University of Minnesota at Duluth,No,4192,3126,1656,8828,53,6393,11
University of Minnesota at Morris,No,1458,874,588,9843,51,6716,16
University of Minnesota Twin Cities,No,11054,6397,3524,8949,45,16122,37
University of Mississippi,No,3844,3383,1669,4916,53,6971,14
University of Missouri at Columbia,No,6574,4637,2940,9057,58,10145,15
University of Missouri at Rolla,No,1877,1826,823,9057,49,9699,23
University of Missouri at Saint Louis,No,1618,1141,479,7246,48,6433,15
University of Mobile,Yes,452,331,269,6150,52,5412,4
University of Montevallo,No,1351,892,570,4440,51,5883,8
University of Nebraska at Lincoln,No,6277,6003,3526,5595,53,6813,48
University of New England,Yes,1209,750,265,11450,64,9718,13
University of New Hampshire,No,9750,7640,2529,11180,75,7855,16
University of North Carolina at Asheville,No,1757,979,394,5972,37,7011,11
University of North Carolina at Chapel Hill,No,14596,5985,3331,8400,83,15893,23
University of North Carolina at Charlotte,No,5803,4441,1730,7248,62,6227,7
University of North Carolina at Greensboro,No,5191,4134,1500,8677,53,7392,17
University of North Carolina at Wilmington,No,6071,3856,1449,7558,55,6005,15
University of North Dakota,No,2777,2249,1652,5634,49,9424,16
University of North Florida,No,1800,1253,560,6634,47,6104,14
University of North Texas,No,4418,2737,2049,4104,35,5657,6
University of Northern Colorado,No,5530,4007,1697,7731,40,6309,8
University of Northern Iowa,No,4144,3379,1853,6197,77,6333,26
University of Notre Dame,Yes,7700,3700,1906,16850,97,13936,46
University of Oklahoma,No,4743,3970,2233,5173,44,10244,11
University of Oregon,No,8631,6732,2546,10602,54,8020,13
University of Pennsylvania,Yes,12394,5232,2464,17020,93,25765,38
University of Pittsburgh-Main Campus,No,8586,6383,2503,10786,66,13789,10
University of Portland,Yes,1758,1485,419,12040,72,9060,17
University of Puget Sound,Yes,4044,2826,688,16230,63,11217,17
University of Rhode Island,No,9643,7751,1968,10330,63,9158,7
University of Richmond,Yes,5892,2718,756,14500,100,11984,32
University of Rochester,Yes,8766,5498,1243,17840,80,26037,23
University of San Diego,Yes,3934,2735,886,13600,66,10813,13
University of San Francisco,Yes,2306,1721,538,13226,62,10074,8
University of Sci. and Arts of Oklahoma,No,285,280,208,3687,43,3864,3
University of Scranton,Yes,4471,2942,910,11584,92,9131,41
University of South Carolina at Aiken,No,848,560,377,5800,48,5035,3
University of South Carolina at Columbia,No,7693,5815,2328,8074,63,8246,18
University of South Florida,No,7589,4676,1876,6760,47,11020,7
University of Southern California,Yes,12229,8498,2477,17230,68,17007,10
University of Southern Colorado,No,1401,1239,605,7100,36,5389,0
University of Southern Indiana,No,2379,2133,1292,4973,38,4078,21
University of Southern Mississippi,No,2850,2044,1046,4652,45,5917,23
University of St. Thomas MN,Yes,2057,1807,828,11712,89,8546,13
University of St. Thomas TX,Yes,374,280,185,8550,62,7237,17
University of Tennessee at Knoxville,No,7473,5372,3013,5764,53,8612,22
University of Texas at Arlington,No,3281,2559,1448,4422,29,4696,4
University of Texas at Austin,No,14752,9572,5329,5130,65,7837,11
University of Texas at San Antonio,No,4217,3100,1686,4104,50,4329,3
University of the Arts,Yes,974,704,290,12520,57,11641,9
University of the Pacific,Yes,2459,1997,582,16320,65,13706,14
University of the South,Yes,1445,966,326,15350,82,18784,52
University of Tulsa,Yes,1712,1557,696,11750,47,11743,10
University of Utah,No,5095,4491,2400,6857,37,9275,9
University of Vermont,No,7663,6008,1735,15516,79,12646,10
University of Virginia,No,15849,5384,2678,12212,95,13597,22
University of Washington,No,12749,7025,3343,8199,65,16527,10
University of West Florida,No,1558,1254,472,6172,53,8488,12
University of Wisconsin-Stout,No,2593,1966,1030,6704,65,6254,17
University of Wisconsin-Superior,No,910,910,342,7032,36,6490,15
University of Wisconsin-Whitewater,No,4400,3719,1472,6950,67,5559,16
University of Wisconsin at Green Bay,No,2409,1939,759,6900,46,5968,1
University of Wisconsin at Madison,No,14901,10932,4631,9096,72,11006,20
University of Wisconsin at Milwaukee,No,5244,3782,1930,8786,38,8094,8
University of Wyoming,No,2029,1516,1073,5988,45,8745,13
Upper Iowa University,Yes,663,452,192,8840,78,3733,19
Ursinus College,Yes,1399,1026,308,14900,79,12082,40
Ursuline College,Yes,325,260,86,9600,68,7164,15
Valley City State University,No,368,344,212,4286,40,4958,25
Valparaiso University,Yes,2075,1727,520,11800,95,9681,23
Vanderbilt University,Yes,7791,4690,1499,17865,83,23850,26
Vassar College,Yes,3550,1877,653,18920,90,17089,39
Villanova University,Yes,7759,5588,1477,15925,96,10458,24
Virginia Commonwealth University,No,4963,3497,1567,10217,45,11183,11
Virginia State University,No,2996,2440,704,5587,31,5733,11
Virginia Tech,No,15712,11719,4277,10260,73,8944,20
Virginia Union University,Yes,1847,1610,453,7384,30,6757,8
Virginia Wesleyan College,Yes,1470,900,287,10900,68,7804,14
Viterbo College,Yes,647,518,271,9140,73,8050,31
Voorhees College,Yes,1465,1006,188,4450,58,5861,3
Wabash College,Yes,800,623,256,12925,72,14904,55
Wagner College,Yes,1416,1015,417,13500,75,9006,23
Wake Forest University,Yes,5661,2392,903,13850,89,41766,37
Walsh University,Yes,1092,890,477,8670,68,5738,33
Warren Wilson College,Yes,440,311,112,10000,63,9430,20
Wartburg College,Yes,1231,1074,345,11600,67,7735,37
Washington and Jefferson College,Yes,1305,1100,334,16260,86,10162,40
Washington and Lee University,Yes,3315,1096,425,13750,90,15736,45
Washington College,Yes,1209,942,214,15276,65,10830,37
Washington State University,No,6540,5839,2440,8200,56,10912,30
Washington University,Yes,7654,5259,1254,18350,90,45702,31
Wayne State College,No,1373,1373,724,2700,52,4550,29
Waynesburg College,Yes,1190,978,324,8840,63,6563,26
Webber College,Yes,280,143,79,5590,90,4839,4
Webster University,Yes,665,462,226,9160,48,6951,14
Wellesley College,Yes,2895,1249,579,18345,91,21409,51
Wells College,Yes,318,240,130,14900,69,13935,42
Wentworth Institute of Technology,Yes,1480,1257,452,9850,64,17858,8
Wesley College,Yes,980,807,350,9890,84,6243,15
Wesleyan University,Yes,4772,1973,712,19130,92,16262,39
West Chester University of Penn.,No,6502,3539,1372,7844,52,6773,16
West Liberty State College,No,1164,1062,478,4470,60,4249,10
West Virginia Wesleyan College,Yes,1566,1400,483,14200,67,8080,42
Western Carolina University,No,3224,2519,1057,6390,55,6554,9
Western Maryland College,Yes,1205,984,278,14510,60,10026,39
Western Michigan University,No,9167,7191,2738,6940,55,5983,11
Western New England College,Yes,1650,1471,409,8994,59,8409,15
Western State College of Colorado,No,2702,1623,604,5918,52,4599,4
Western Washington University,No,5548,3563,1549,8124,61,7203,10
Westfield State College,No,3100,2150,825,5542,65,4222,20
Westminster College MO,Yes,662,553,184,10720,62,7925,20
Westminster College,Yes,996,866,377,12065,80,8596,41
Westminster College of Salt Lake City,Yes,917,720,213,8820,50,7170,34
Westmont College,No,950,713,351,14320,87,8837,17
Wheaton College IL,Yes,1432,920,548,11480,85,11916,40
Westminster College PA,Yes,1738,1373,417,18460,71,22704,41
Wheeling Jesuit College,Yes,903,755,213,10500,72,7494,27
Whitman College,Yes,1861,998,359,16670,72,13198,51
Whittier College,Yes,1681,1069,344,16249,52,11778,29
Whitworth College,Yes,1121,926,372,12660,80,8328,20
Widener University,Yes,2139,1492,502,12350,63,9603,19
Wilkes University,Yes,1631,1431,434,11150,67,8543,24
Willamette University,Yes,1658,1327,395,14800,68,10779,37
William Jewell College,Yes,663,547,315,10060,59,7885,19
William Woods University,Yes,469,435,227,10535,52,7438,16
Williams College,Yes,4186,1245,526,19629,99,22014,64
Wilson College,Yes,167,130,46,11428,67,10291,43
Wingate College,Yes,1239,1017,383,7820,91,7264,8
Winona State University,No,3325,2047,1301,4200,58,5318,18
Winthrop University,No,2320,1805,769,6400,59,6729,26
Wisconsin Lutheran College,Yes,152,128,75,9100,50,8960,26
Wittenberg University,Yes,1979,1739,575,15948,78,10414,29
Wofford College,Yes,1501,935,273,12680,75,7875,42
Worcester Polytechnic Institute,Yes,2768,2314,682,15884,82,10774,34
Worcester State College,No,2197,1515,543,6797,40,4469,14
Xavier University,Yes,1959,1805,695,11520,83,9189,31
Xavier University of Louisiana,Yes,2097,1915,695,6900,49,8323,20
Yale University,Yes,10705,2453,1317,19840,99,40386,49
York College of Pennsylvania,Yes,2989,1855,691,4990,99,4509,28
